start.location,start.country,start.city,start.latitude,start.longitude,end.location,end.country,end.city,end.latitude,end.longitude,date,journey,number.of.letters,start.state,end.state
"USA, Oak Grove (WI)",USA,Oak Grove,43.386106,-88.74566,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1854-07-16,-88.74566 43.386106 -88.74566 43.386106,6,WI,TH
"USA, Oak Grove (WI)",USA,Oak Grove,43.386106,-88.74566,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1855-04-07,-88.74566 43.386106 -88.74566 43.386106,6,WI,TH
"USA, Oak Grove (WI)",USA,Oak Grove,43.386106,-88.74566,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1856-02-03,-88.74566 43.386106 -88.74566 43.386106,6,WI,TH
"USA, Oak Grove (WI)",USA,Oak Grove,43.386106,-88.74566,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1857-04-06,-88.74566 43.386106 -88.74566 43.386106,6,WI,TH
"USA, Oak Grove (WI)",USA,Oak Grove,43.386106,-88.74566,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1857-07-01,-88.74566 43.386106 -88.74566 43.386106,6,WI,TH
"USA, Oak Grove (WI)",USA,Oak Grove,43.386106,-88.74566,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1858-07-03,-88.74566 43.386106 -88.74566 43.386106,6,WI,TH
"USA, Edwardsville (IL)",USA,Edwardsville,38.811436,-89.953157,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1862-05-03,-89.953157 38.811436 -89.953157 38.811436,10,IL,TH
"USA, Edwardsville (IL)",USA,Edwardsville,38.811436,-89.953157,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1863-02-09,-89.953157 38.811436 -89.953157 38.811436,10,IL,TH
"USA, Edwardsville (IL)",USA,Edwardsville,38.811436,-89.953157,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1864-02-01,-89.953157 38.811436 -89.953157 38.811436,10,IL,TH
"USA, Edwardsville (IL)",USA,Edwardsville,38.811436,-89.953157,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1864-11-03,-89.953157 38.811436 -89.953157 38.811436,10,IL,TH
"USA, Edwardsville (IL)",USA,Edwardsville,38.811436,-89.953157,"DEU, Neubrunn (TH)",DEU,Neubrunn,50.49939,10.468045,1866-04-08,-89.953157 38.811436 -89.953157 38.811436,10,IL,TH
