University,Latitude,Longitude
University of Oxford,51.756767,-1.254682
University of Durham,54.764989,-1.5803916
Queen's University Belfast,54.5844118,-5.9362381
University of Leeds,53.8066846,-1.5572215
University of the West of England,51.5017549,-2.5504843
King's College London,51.5114897,-0.1181857
Edinburgh University,55.9445188,-3.19143
University College London,51.5245625,-0.1362288
University of Sheffield,53.3809441,-1.4901356
University of Glasgow,55.8721241,-4.2903892
University of Kent,51.2985393,1.0694403
University of Cambridge,52.2042699,0.1127198
University of Greenwich,51.4833458,-0.0081715
University of Birmingham,52.45082,-1.9327022
Polytech'Tours,47.3646957,0.6825578
